Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
anna maria college,50 Sunset Lane Paxton MA 01612,(42.33145 -71.91997),$55532,$55532,187,('73%' '76%' '69%'),2515,('46%' '54%'),10%,Co-ed,('33%' '67%'),63%,0%,2%,13%,11%,1%,8%,66%
anne arundel community college,101 College Pky Arnold MD 21012-1895,(39.05435 -76.5159),$8900,$13550,981,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,1%,5%,17%,10%,&lt; 1%,13%,55%
anoka ramsey community college,11200 Mississippi Blvd NW Coon Rapids MN 55433-3470,(45.17536 -93.346),$5515,$5515,511,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),56%,0%,7%,11%,6%,&lt; 1%,13%,63%
anoka technical college,1355 Highway 10 West Anoka MN 55303,(45.214598 -93.415057),$6075,$6075,153,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,0%,5%,12%,6%,1%,8%,68%
antelope valley community college district,3041 West  Ave K Lancaster CA 93536-5426,(34.67487 -118.18438),$1124,$6980,968,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
antioch college,1 Morgan Pl Yellow Springs OH 45387,(39.79986 -83.88843),$44783,$44783,31,('72%' '81%' '54%'),210,('64%' '36%'),21%,Co-ed,('83%' '17%'),47%,0%,4%,10%,13%,1%,14%,59%
appalachian bible college,161 College Drive Mount Hope WV 25880-9557,(37.85296 -81.19997),$24390,$24390,26,('46%' '48%' '43%'),91,('57%' '43%'),64%,Co-ed,('51%' '49%'),68%,4%,2%,2%,&lt; 1%,1%,11%,84%
appalachian state university,287 Rivers St Boone NC 28608,(36.21073 -81.67723),$17091,$32698,4099,('85%' '87%' '80%'),21120,('59%' '41%'),23%,Co-ed,('57%' '43%'),87%,1%,2%,4%,6%,&lt; 1%,5%,83%
aquinas college,1700 Fulton St. E Grand Rapids MI 49506,(42.96273 -85.62744),$46398,$46398,218,('89%' '92%' '84%'),1432,('58%' '42%'),17%,Co-ed,('60%' '40%'),75%,2%,2%,4%,7%,&lt; 1%,12%,76%
arapahoe community college,5900 S. Santa Fe Dr. Littleton CO 80160-9002,(39.61015 -105.02124),$4080,$15502,493,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,1%,5%,3%,15%,1%,9%,68%
arcadia university,450 S Easton Rd Glenside PA 19038,(40.08922 -75.16335),$60390,$60390,390,('82%' '85%' '76%'),5636,('67%' '33%'),8%,Co-ed,('65%' '35%'),78%,4%,5%,10%,9%,&lt; 1%,10%,65%
arizona christian university,2625 E Cactus Rd Phoenix AZ 85032,(33.59673 -112.02593),$42624,$42624,311,('76%' '83%' '72%'),1222,('33%' '67%'),34%,Co-ed,('34%' '66%'),59%,4%,1%,14%,22%,1%,10%,52%
arizona college of nursing tempe,1620 West Fountainhead Parkway Tempe AZ 85282-1840,(33.40287 -111.96624),$23066,$23066,n/a,('100%' '100%' '100%'),53,('81%' '19%'),42%,Enrolled women:,('23%' ''),87%,0%,3%,8%,25%,2%,11%,51%
arizona state university asu,University Drive and Mill Avenue Tempe AZ 85287,(33.42192 -111.94001),$25044,$43134,14250,('88%' '90%' '86%'),61603,('52%' '48%'),26%,Co-ed,('50%' '50%'),88%,13%,9%,4%,23%,1%,5%,57%
arizona state university downtown phoenix,411 N Central Ave Phoenix AZ 85004,(33.45291 -112.07381),$28681,$47521,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),86%,2%,5%,6%,31%,2%,5%,50%
arizona state university polytechnic,7001 E Williams Field Road Mesa AZ 85212,(33.3072 -111.68094),$26683,$45523,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),81%,8%,7%,6%,23%,2%,5%,57%
arizona state university west,4701 W Thunderbird Road Glendale AZ 85306,(33.60966 -112.16138),$25911,$44751,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),83%,6%,6%,5%,34%,2%,4%,48%
arizona western college,2020 S. Avenue 8E Yuma AZ 85365-8834,(32.68922 -114.49376),$10602,$19152,514,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,1%,1%,1%,68%,1%,17%,12%
arkansas baptist college,1600 Dr. Martin Luther King Jr. Drive Little Rock AR 72202,(34.73471 -92.28948),$17586,$17586,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),50%,1%,1%,93%,1%,&lt; 1%,&lt; 1%,6%
arkansas northeastern college,2501 S Division Blytheville AR 72316-1109,(35.8993 -89.91864),$2738,$4138,163,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,0%,1%,28%,5%,&lt; 1%,&lt; 1%,65%
arkansas state university beebe,1000 Iowa Street Beebe AR 72012-1000,(35.07022 -91.89512),$8478,$10206,533,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,0%,1%,6%,6%,1%,3%,84%
arkansas state university main campus,2105 E. Aggie Road Jonesboro AR 72401,(35.84281 -90.68009),$16770,$22338,1301,('63%' '65%' '59%'),5833,('60%' '40%'),35%,Co-ed,('59%' '41%'),76%,5%,1%,14%,3%,&lt; 1%,3%,78%
arkansas state university mid south,2000 W.  Broadway West Memphis AR 72301-3829,(35.14661 -90.21814),$3226,$4186,85,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,1%,1%,53%,4%,1%,4%,37%
arkansas state university mountain home,1600 South College Street Mountain Home AR 72653,(36.31952 -92.38286),$2904,$4464,127,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,1%,1%,3%,1%,4%,91%
arkansas state university three rivers,One College Circle Malvern AR 72104-0816,(34.37771 -92.82242),$3458,$5882,53,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,1%,12%,8%,1%,8%,71%
arkansas tech university,Administration Bldg 200; 1509 N Boulder Ave Russellville AR 72801,(35.29313 -93.13464),$16896,$22632,1396,('94%' '94%' '93%'),6218,('60%' '40%'),24%,Co-ed,('52%' '48%'),70%,3%,2%,7%,8%,1%,4%,79%
arlington baptist university,3001 W Division Arlington TX 76012,(32.73869 -97.15586),$22525,$22525,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),33%,1%,1%,26%,16%,2%,2%,54%
art academy of cincinnati,1212 Jackson Street Cincinnati OH 45202,(39.10898 -84.51412),$45790,$45790,64,('100%' '100%' '100%'),410,('79%' '21%'),16%,Co-ed,('71%' '29%'),47%,0%,1%,14%,5%,1%,6%,73%
art institute of atlanta,6600 Peachtree Dunwoody Rd. N.E. 100 Embassy Row Atlanta GA 30328-1635,(33.93666 -84.35353),$19354,$19354,45,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),17%,2%,1%,69%,11%,2%,9%,9%
art institute of houston,4140 Southwest Freeway Houston TX 77027-9625,(29.73044 -95.44539),$19354,$19354,26,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),32%,4%,4%,40%,30%,&lt; 1%,5%,21%
artcenter college of design artcenter,1700 Lida St Pasadena CA 91103,(34.17079 -118.18689),$48044,$48044,269,('76%' '77%' '72%'),980,('61%' '39%'),36%,Co-ed,('61%' '39%'),83%,33%,51%,2%,18%,&lt; 1%,7%,23%
asa college,151 Lawrence Street Brooklyn NY 11201-9805,(40.69143 -73.98632),$25781,$25781,590,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),0%,15%,10%,35%,41%,&lt; 1%,4%,9%
asbury university,1 Macklem Dr Wilmore KY 40390,(37.8619 -84.66175),$40992,$40992,263,('77%' '82%' '70%'),1126,('59%' '41%'),30%,Co-ed,('58%' '42%'),81%,4%,2%,4%,6%,1%,6%,82%
asheville buncombe technical community college,340 Victoria Rd Asheville NC 28801-4897,(35.56787 -82.55492),$2632,$8776,384,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,2%,6%,12%,1%,6%,74%
ashland community and technical college,1400 College Drive Ashland KY 41101-3683,(38.46894 -82.65137),$4488,$15240,328,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,1%,1%,2%,&lt; 1%,3%,93%
ashland university,401 College Avenue Ashland OH 44805,(40.86241 -82.32105),$34030,$34030,699,('70%' '71%' '68%'),4318,('52%' '48%'),23%,Co-ed,('38%' '62%'),78%,1%,1%,19%,3%,1%,5%,71%
asnuntuck community college,170 Elm St Enfield CT 06082,(41.99869 -72.57149),$4556,$13468,202,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,3%,12%,14%,&lt; 1%,6%,64%
associated beth rivkah schools,310 Crown Street Brooklyn NY 11225-0000,(40.66623 -73.94977),$8000,$8000,127,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),82%,10%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,100%
assumption college for sisters,200 A Morris Avenue Denville NJ 07834,(40.90241 -74.48807),$12013,$12013,7,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),100%,59%,8%,&lt; 1%,23%,&lt; 1%,&lt; 1%,69%
assumption university,500 Salisbury St Worcester MA 01609,(42.29115 -71.83152),$59968,$59968,415,('86%' '91%' '80%'),4018,('56%' '44%'),12%,Co-ed,('55%' '45%'),83%,2%,3%,6%,7%,&lt; 1%,10%,74%
