Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
north carolina state university nc state,2101 Hillsborough Street Raleigh NC 27695,(35.78637 -78.66312),$21088,$41873,5046,('47%' '52%' '41%'),32998,('52%' '48%'),32%,Co-ed,('52%' '48%'),94%,5%,7%,6%,5%,&lt; 1%,11%,70%
north carolina wesleyan university,3400 N Wesleyan Blvd Rocky Mount NC 27804,(36.01561 -77.77131),$45289,$45289,193,('28%' '32%' '26%'),2220,('28%' '72%'),31%,Co-ed,('27%' '73%'),63%,5%,1%,46%,4%,1%,15%,33%
north central college,30 N Brainard St Naperville IL 60540,(41.7704 -88.146),$54084,$54084,512,('68%' '69%' '66%'),4551,('53%' '47%'),16%,Co-ed,('44%' '56%'),81%,3%,3%,4%,15%,&lt; 1%,11%,67%
north central kansas technical college,3033 US Highway 24 Beloit KS 67420,(39.56709 -98.11985),$15192,$15192,206,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),72%,0%,1%,1%,5%,1%,4%,88%
north central michigan college,1515 Howard St Petoskey MI 49770,(45.3621 -84.95084),$13516,$15336,174,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,0%,1%,1%,3%,3%,3%,89%
north central missouri college,1301 Main St Trenton MO 64683,(40.07747 -93.61755),$12010,$13120,344,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,0%,1%,2%,3%,&lt; 1%,6%,89%
north central state college,2441 Kenwood Circle Mansfield OH 44901-0698,(40.79774 -82.58455),$4384,$8623,240,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),90%,0%,1%,4%,3%,&lt; 1%,6%,87%
north central texas college,1525 W California Street Gainesville TX 76240-4699,(33.61962 -97.16216),$9387,$11907,564,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,3%,4%,8%,26%,1%,4%,56%
north central university,910 Elliot Ave Minneapolis MN 55404,(44.9694 -93.26104),$35880,$35880,188,('94%' '94%' '92%'),553,('56%' '44%'),36%,Co-ed,('52%' '48%'),80%,1%,3%,5%,6%,&lt; 1%,14%,71%
north coast college,11724 Detroit Avenue Lakewood OH 44107,(41.48405 -81.76948),$22800,$22800,4,('50%' '75%' '25%'),8,('50%' '50%'),100%,Co-ed,('75%' '25%'),0%,0%,&lt; 1%,45%,&lt; 1%,4%,13%,38%
north country community college,23 Santanoni Avenue Saranac Lake NY 12983-0089,(44.31918 -74.12099),$17862,$25034,190,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),50%,0%,&lt; 1%,5%,2%,4%,4%,84%
