Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
urban college of boston,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
virginia western community college,3094 Colonial Ave Roanoke VA 24015,(37.2468 -79.97155),$5355,$11358,648,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,0%,4%,10%,6%,&lt; 1%,6%,73%
visible music college,200 Madison Ave Memphis TN 38103,(35.14427 -90.04933),$26000,$26000,51,('37%' '38%' '34%'),243,('48%' '52%'),57%,Co-ed,('50%' '50%'),85%,6%,2%,33%,11%,&lt; 1%,1%,54%
viterbo university,900 Viterbo Drive La Crosse WI 54601,(43.80175 -91.2446),$39785,$39785,261,('77%' '81%' '65%'),1282,('73%' '27%'),26%,Co-ed,('73%' '27%'),77%,2%,1%,1%,3%,&lt; 1%,4%,91%
volunteer state community college,1480 Nashville Pike Gallatin TN 37066-3188,(36.36237 -86.49508),$4384,$17200,1526,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),44%,0%,1%,9%,8%,&lt; 1%,7%,74%
voorhees college,481 Porter Drive Denmark SC 29042,(33.30593 -81.13107),$19976,$19976,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),55%,0%,&lt; 1%,97%,1%,&lt; 1%,1%,1%
wabash college,301 West Wabash Avenue Crawfordsville IN 47933,(40.03944 -86.90439),$57450,$57450,210,('62%' '0%' '61%'),1635,('0%' '100%'),21%,Co-ed,('0%' '100%'),86%,7%,1%,7%,9%,&lt; 1%,5%,78%
wabash valley college,2200 College Drive Mount Carmel IL 62863,(38.4302 -87.77931),$10056,$12082,164,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),72%,0%,1%,5%,2%,&lt; 1%,2%,89%
wade college,1950 N. Stemmons Freeway Suite 4080 Dallas INFOMART Dallas TX 75207,(32.80015 -96.81986),$15673,$15673,11,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),75%,1%,4%,36%,19%,1%,5%,36%
wagner college,One Campus Rd Staten Island NY 10301,(40.61266 -74.09279),$65310,$65310,357,('82%' '83%' '79%'),2786,('56%' '44%'),16%,Co-ed,('59%' '41%'),81%,6%,5%,9%,12%,&lt; 1%,8%,66%
wake forest university,1834 Wake Forest Road Winston-Salem NC 27106,(36.1369 -80.27377),$75814,$75814,1412,('25%' '26%' '23%'),15156,('55%' '45%'),37%,Co-ed,('56%' '44%'),96%,10%,4%,8%,8%,&lt; 1%,4%,76%
wake technical community college,9101 Fayetteville Road Raleigh NC 27603-5696,(35.65099 -78.70437),$2768,$8912,1763,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,2%,6%,23%,15%,&lt; 1%,6%,50%
walden university,100 Washington Avenue South Suite 900 Minneapolis MN 55401,(44.98092 -93.26606),$12180,$12180,1,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),25%,2%,4%,39%,8%,1%,11%,38%
waldorf university,106 S Sixth St Forest City IA 50436-1713,(43.26296 -93.6396),$31728,$31728,187,('72%' '77%' '70%'),1097,('26%' '74%'),24%,Co-ed,('30%' '70%'),46%,2%,2%,10%,3%,1%,38%,46%
walla walla community college,500 Tausick Way Walla Walla WA 99362-9267,(46.06781 -118.29333),$4850,$6350,198,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
walla walla university,204 S College Ave College Place WA 99324,(46.04732 -118.38855),$38889,$38889,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),85%,3%,11%,3%,16%,1%,3%,66%
walnut hill college,4207 Walnut St Philadelphia PA 19104,(39.95508 -75.20714),$35278,$35278,97,('79%' '72%' '88%'),209,('58%' '42%'),59%,Co-ed,('57%' '43%'),95%,0%,4%,28%,10%,&lt; 1%,8%,50%
walsh university,2020 East Maple St North Canton OH 44720,(40.87507 -81.36963),$43705,$43705,335,('80%' '84%' '75%'),1858,('50%' '50%'),23%,Co-ed,('47%' '53%'),77%,5%,1%,7%,3%,&lt; 1%,19%,70%
walters state community college,500 South Davy Crockett Parkway Morristown TN 37813-6899,(36.21112 -83.26236),$4399,$17215,1203,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,0%,1%,2%,6%,&lt; 1%,3%,86%
warner pacific university,2219 SE 68th Ave Portland OR 97215,(45.50705 -122.59427),$29332,$29332,33,('76%' '76%' '74%'),406,('70%' '30%'),11%,Co-ed,('75%' '25%'),74%,0%,8%,8%,24%,1%,16%,43%
warner university,13895 Hwy 27 Lake Wales FL 33859,(27.82575 -81.5933),$36284,$36284,227,('53%' '53%' '53%'),1135,('37%' '63%'),38%,Co-ed,('42%' '58%'),55%,5%,1%,38%,11%,&lt; 1%,3%,47%
warren county community college,475 Route 57 W Washington NJ 07882-4343,(40.74502 -75.01851),$5490,$6090,136,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,1%,4%,7%,&lt; 1%,69%,20%
warren wilson college,701 Warren Wilson Rd Swannanoa NC 28778,(35.6133 -82.44072),$50200,$50200,225,('77%' '80%' '70%'),1128,('62%' '38%'),26%,Co-ed,('62%' '38%'),65%,3%,1%,5%,6%,1%,12%,75%
