Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
kings college london,n/a,n/a,unknown,unknown,,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
laney college,900 Fallon Sreet Oakland CA 94607,(37.79717 -122.26383),$1148,$8684,181,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,3%,25%,19%,27%,1%,9%,19%
langston university,102 Page Hall Langston OK 73050,(35.94606 -97.25446),$17129,$24509,574,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,1%,1%,68%,2%,1%,21%,7%
lanier technical college,2535 Lanier Tech Drive Gainesville GA 30507,(34.33127 -83.78064),$3666,$6666,291,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,1%,3%,8%,24%,1%,2%,62%
lansdale school of business,290 Wissahickon Avenue North Wales PA 19454-4114,(40.22396 -75.28435),$11850,$11850,37,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),83%,0%,5%,37%,11%,&lt; 1%,&lt; 1%,47%
lansing community college,610 N Capitol Ave Lansing MI 48933,(42.73993 -84.55382),$6840,$10260,981,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),64%,1%,3%,10%,9%,1%,8%,70%
laramie county community college,1400 E College Dr Cheyenne WY 82007-3299,(41.10263 -104.77792),$13155,$19455,488,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
laredo college,West End Washington St Laredo TX 78040-4395,(27.50866 -99.51914),$4500,$5748,815,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
las positas college,3000 Campus Hill Drive Livermore CA 94551-7650,(37.7069 -121.79644),$1168,$8728,701,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),79%,1%,24%,4%,30%,1%,10%,31%
las vegas college,8410 N. Rafael Rivera Way Las Vegas NV 89113,(36.06719 -115.27532),$15663,$15663,,n/a,n/a,n/a,n/a,Very diverse,('n/a' 'n/a'),n/a,n/a
lasell college lc,1844 Commonwealth Avenue Newton MA 02466,(42.34325 -71.24189),$58500,$58500,303,('85%' '85%' '83%'),2550,('64%' '36%'),14%,Co-ed,('61%' '39%'),68%,7%,2%,7%,10%,&lt; 1%,10%,71%
lassen community college,478-200 Hwy 139 Susanville CA 96130,(40.43435 -120.63418),$11273,$17993,120,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,1%,4%,13%,31%,3%,8%,42%
latin american bible institute,14209 East Lomitas Avenue La Puente CA 91746-3099,(34.03065 -117.98961),$16200,$16200,6,('36%' '41%' '28%'),69,('59%' '41%'),24%,Co-ed,('83%' '17%'),n/a,n/a
laurel business institute,11 East Penn St Uniontown PA 15401,(39.90256 -79.72481),$10970,$10970,111,('91%' '90%' '91%'),176,('74%' '26%'),71%,Co-ed,('72%' '28%'),78%,0%,&lt; 1%,5%,&lt; 1%,&lt; 1%,1%,93%
laurel ridge community college,173 Skirmisher Lane Middletown VA 22645,(39.0358 -78.26823),$4739,$10742,500,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,1%,2%,5%,13%,&lt; 1%,10%,70%
laurel technical institute hermitage,2370 Broadway Avenue Hermitage PA 16148,(41.19016 -80.46346),$11028,$11028,56,('97%' '94%' '100%'),90,('60%' '40%'),64%,Co-ed,('58%' '42%'),73%,0%,1%,17%,1%,1%,9%,71%
laurel technical institute meadville,11618 Cotton Road MEADVILLE PA 16335,(41.62613 -80.22251),$10582,$10582,57,('91%' '93%' '75%'),80,('90%' '10%'),84%,Co-ed,('91%' '9%'),79%,0%,&lt; 1%,7%,&lt; 1%,1%,2%,90%
lawrence technological university,21000 West Ten Mile Road Southfield MI 48075,(42.47472 -83.24998),$48735,$48735,475,('81%' '79%' '81%'),2641,('30%' '70%'),22%,Co-ed,('27%' '73%'),81%,13%,3%,7%,4%,&lt; 1%,16%,69%
